 20241113	 12:45:54	3814343154	4117B	2378	2965.989	22.296
 20241113	 12:46:23	3814343184	4117B	2378	2964.470	22.296
 20241113	 12:46:54	3814343214	4117B	2378	2962.996	22.296
 20241113	 12:47:24	3814343244	4117B	2378	2961.587	22.296
 20241113	 12:47:54	3814343274	4117B	2378	2960.174	22.295
 20241113	 12:48:24	3814343304	4117B	2378	2958.827	22.295
 20241113	 12:48:54	3814343334	4117B	2378	2957.507	22.295
 20241113	 12:49:24	3814343364	4117B	2378	2956.221	22.294
 20241113	 12:49:54	3814343394	4117B	2378	2954.965	22.293
 20241113	 12:50:24	3814343424	4117B	2378	2953.746	22.295
 20241113	 12:50:54	3814343454	4117B	2378	2952.546	22.295
 20241113	 12:51:24	3814343484	4117B	2378	2951.337	22.294
 20241113	 12:51:54	3814343514	4117B	2378	2950.198	22.295
 20241113	 12:52:24	3814343544	4117B	2378	2949.063	22.294
 20241113	 12:52:54	3814343574	4117B	2378	2947.946	22.294
 20241113	 12:53:24	3814343604	4117B	2378	2946.876	22.295
 20241113	 12:53:53	3814343634	4117B	2378	2945.805	22.295
 20241113	 12:54:24	3814343664	4117B	2378	2944.729	22.294
 20241113	 12:54:54	3814343694	4117B	2378	2943.707	22.294
 20241113	 12:55:23	3814343724	4117B	2378	2942.669	22.293
 20241113	 12:55:54	3814343754	4117B	2378	2941.680	22.294
 20241113	 12:56:24	3814343784	4117B	2378	2940.688	22.293
 20241113	 12:56:53	3814343814	4117B	2378	2939.677	22.294
 20241113	 12:57:24	3814343844	4117B	2378	2938.720	22.293
 20241113	 12:57:54	3814343874	4117B	2378	2937.785	22.294
 20241113	 12:58:23	3814343904	4117B	2378	2936.824	22.293
 20241113	 12:58:54	3814343934	4117B	2378	2935.888	22.294
 20241113	 12:59:24	3814343964	4117B	2378	2934.992	22.295
 20241113	 12:59:54	3814343994	4117B	2378	2934.058	22.294
 20241113	 13:00:24	3814344024	4117B	2378	2933.175	22.295
 20241113	 13:00:54	3814344054	4117B	2378	2932.264	22.294
 20241113	 13:01:23	3814344084	4117B	2378	2931.409	22.294
 20241113	 13:01:54	3814344114	4117B	2378	2930.509	22.295
 20241113	 13:02:24	3814344144	4117B	2378	2929.669	22.294
 20241113	 13:02:53	3814344174	4117B	2378	2928.847	22.295
 20241113	 13:03:24	3814344204	4117B	2378	2928.002	22.295
 20241113	 13:03:54	3814344234	4117B	2378	2927.158	22.294
